account_id,as_of_date,balance_amount,update_ts
ACCT00071,2025-12-28,89689.43,2025-12-28 10:00:00
ACCT00072,2025-12-28,62592.81,2025-12-28 00:00:00
ACCT00073,2025-12-28,43201.29,2025-12-28 22:00:00
ACCT00074,2025-12-28,17919.87,2025-12-28 23:00:00
ACCT00075,2025-12-28,43468.93,2025-12-28 05:00:00
ACCT00076,2025-12-28,71319.35,2025-12-28 06:00:00
ACCT00077,2025-12-28,24932.12,2025-12-28 03:00:00
ACCT00077,2025-12-28,23942.56,2025-12-28 17:00:00
ACCT00078,2025-12-28,21796.12,2025-12-28 20:00:00
ACCT00078,2025-12-28,23045.66,2025-12-28 19:00:00
ACCT00079,2025-12-28,52839.87,2025-12-28 11:00:00
ACCT00080,2025-12-28,27544.32,2025-12-28 03:00:00
ACCT00080,2025-12-28,28469.16,2025-12-28 16:00:00
ACCT00081,2025-12-28,90200.98,2025-12-28 08:00:00
ACCT00081,2025-12-28,86004.78,2025-12-28 17:00:00
ACCT00082,2025-12-28,91583.34,2025-12-28 18:00:00
ACCT00083,2025-12-28,25201.5,2025-12-28 16:00:00
ACCT00083,2025-12-28,26479.44,2025-12-28 02:00:00
ACCT00084,2025-12-28,71186.52,2025-12-28 09:00:00
ACCT00085,2025-12-28,50089.14,2025-12-28 15:00:00
ACCT00086,2025-12-28,28070.82,2025-12-28 14:00:00
ACCT00087,2025-12-28,48987.02,2025-12-28 01:00:00
ACCT00088,2025-12-28,68329.32,2025-12-28 07:00:00
ACCT00089,2025-12-28,36467.82,2025-12-28 10:00:00
ACCT00089,2025-12-28,35709.65,2025-12-28 23:00:00
ACCT00090,2025-12-28,44387.57,2025-12-28 12:00:00
ACCT00090,2025-12-28,43848.0,2025-12-28 03:00:00
ACCT00091,2025-12-28,74342.14,2025-12-28 08:00:00
ACCT00092,2025-12-28,111656.97,2025-12-28 11:00:00
ACCT00093,2025-12-28,48027.18,2025-12-28 05:00:00
ACCT00094,2025-12-28,30088.15,2025-12-28 17:00:00
ACCT00094,2025-12-28,30051.96,2025-12-28 20:00:00
ACCT00095,2025-12-28,76886.71,2025-12-28 06:00:00
ACCT00095,2025-12-28,78081.84,2025-12-28 19:00:00
ACCT00096,2025-12-28,58278.35,2025-12-28 00:00:00
ACCT00096,2025-12-28,58990.89,2025-12-28 20:00:00
ACCT00097,2025-12-28,36171.45,2025-12-28 01:00:00
ACCT00098,2025-12-28,31207.13,2025-12-28 03:00:00
ACCT00098,2025-12-28,31361.34,2025-12-28 08:00:00
ACCT00099,2025-12-28,22119.6,2025-12-28 16:00:00
ACCT00101,2025-12-28,82682.95,2025-12-28 23:00:00
ACCT00102,2025-12-28,51111.07,2025-12-28 20:00:00
ACCT00102,2025-12-28,48016.89,2025-12-28 15:00:00
ACCT00103,2025-12-28,75072.03,2025-12-28 07:00:00
ACCT00103,2025-12-28,72945.9,2025-12-28 12:00:00
ACCT00104,2025-12-28,38495.95,2025-12-28 02:00:00
ACCT00105,2025-12-28,12815.81,2025-12-28 04:00:00
ACCT00105,2025-12-28,13239.11,2025-12-28 04:00:00
ACCT00106,2025-12-28,31651.0,2025-12-28 09:00:00
ACCT00106,2025-12-28,31919.16,2025-12-28 16:00:00
ACCT00107,2025-12-28,64949.4,2025-12-28 05:00:00
ACCT00107,2025-12-28,62923.96,2025-12-28 13:00:00
ACCT00108,2025-12-28,44163.98,2025-12-28 23:00:00
ACCT00109,2025-12-28,52352.94,2025-12-28 09:00:00
ACCT00109,2025-12-28,55554.42,2025-12-28 08:00:00
ACCT00110,2025-12-28,8232.26,2025-12-28 01:00:00
ACCT00111,2025-12-28,53965.34,2025-12-28 20:00:00
ACCT00111,2025-12-28,54396.72,2025-12-28 11:00:00
ACCT00112,2025-12-28,42659.01,2025-12-28 01:00:00
ACCT00112,2025-12-28,40749.47,2025-12-28 07:00:00
ACCT00113,2025-12-28,38738.88,2025-12-28 21:00:00
ACCT00113,2025-12-28,38258.64,2025-12-28 06:00:00
ACCT00114,2025-12-28,54196.67,2025-12-28 15:00:00
ACCT00115,2025-12-28,34774.07,2025-12-28 08:00:00
ACCT00115,2025-12-28,36343.16,2025-12-28 16:00:00
ACCT00117,2025-12-28,67153.44,2025-12-28 23:00:00
ACCT00118,2025-12-28,54898.12,2025-12-28 17:00:00
ACCT00119,2025-12-28,50499.44,2025-12-28 08:00:00
ACCT00120,2025-12-28,64262.93,2025-12-28 04:00:00
ACCT00120,2025-12-28,62950.89,2025-12-28 22:00:00
ACCT00121,2025-12-28,98472.43,2025-12-28 10:00:00
ACCT00122,2025-12-28,23005.27,2025-12-28 20:00:00
ACCT00123,2025-12-28,67250.69,2025-12-28 09:00:00
ACCT00124,2025-12-28,49639.15,2025-12-28 06:00:00
ACCT00125,2025-12-28,473.78,2025-12-28 11:00:00
ACCT00126,2025-12-28,30439.01,2025-12-28 08:00:00
ACCT00127,2025-12-28,79163.85,2025-12-28 03:00:00
ACCT00127,2025-12-28,76160.61,2025-12-28 07:00:00
ACCT00128,2025-12-28,27649.45,2025-12-28 02:00:00
ACCT00129,2025-12-28,39939.55,2025-12-28 14:00:00
ACCT00130,2025-12-28,69756.73,2025-12-28 03:00:00
ACCT00130,2025-12-28,68786.85,2025-12-28 19:00:00
ACCT00131,2025-12-28,6613.37,2025-12-28 02:00:00
ACCT00132,2025-12-28,42992.13,2025-12-28 04:00:00
ACCT00133,2025-12-28,67830.98,2025-12-28 07:00:00
ACCT00133,2025-12-28,64586.34,2025-12-28 13:00:00
ACCT00134,2025-12-28,61043.75,2025-12-28 02:00:00
ACCT00135,2025-12-28,30856.17,2025-12-28 10:00:00
ACCT00135,2025-12-28,31419.73,2025-12-28 03:00:00
ACCT00136,2025-12-28,82518.91,2025-12-28 13:00:00
ACCT00136,2025-12-28,81361.25,2025-12-28 23:00:00
ACCT00137,2025-12-28,37848.89,2025-12-28 05:00:00
ACCT00138,2025-12-28,70035.91,2025-12-28 00:00:00
ACCT00139,2025-12-28,16743.78,2025-12-28 13:00:00
ACCT00140,2025-12-28,83748.52,2025-12-28 19:00:00
ACCT00141,2025-12-28,19796.17,2025-12-28 12:00:00
ACCT00142,2025-12-28,96647.99,2025-12-28 22:00:00
ACCT00142,2025-12-28,96842.32,2025-12-28 23:00:00
ACCT00143,2025-12-28,49879.52,2025-12-28 19:00:00
ACCT00143,2025-12-28,47143.65,2025-12-28 23:00:00
ACCT00144,2025-12-28,50367.21,2025-12-28 19:00:00
ACCT00144,2025-12-28,49444.8,2025-12-28 12:00:00
ACCT00145,2025-12-28,3576.01,2025-12-28 11:00:00
ACCT00145,2025-12-28,3441.07,2025-12-28 01:00:00
ACCT00146,2025-12-28,30466.85,2025-12-28 02:00:00
ACCT00147,2025-12-28,58734.19,2025-12-28 20:00:00
ACCT00148,2025-12-28,52592.96,2025-12-28 09:00:00
ACCT00148,2025-12-28,53101.08,2025-12-28 12:00:00
ACCT00149,2025-12-28,65708.9,2025-12-28 00:00:00
ACCT00149,2025-12-28,67005.76,2025-12-28 13:00:00
ACCT00150,2025-12-28,46708.17,2025-12-28 23:00:00
ACCT00151,2025-12-28,77536.44,2025-12-28 19:00:00
ACCT00152,2025-12-28,63720.68,2025-12-28 14:00:00
ACCT00153,2025-12-28,64650.33,2025-12-28 13:00:00
ACCT00153,2025-12-28,63295.77,2025-12-28 08:00:00
ACCT00154,2025-12-28,41005.59,2025-12-28 23:00:00
ACCT00155,2025-12-28,18920.96,2025-12-28 17:00:00
ACCT00155,2025-12-28,19353.35,2025-12-28 23:00:00
ACCT00156,2025-12-28,51465.78,2025-12-28 20:00:00
ACCT00157,2025-12-28,46600.8,2025-12-28 10:00:00
ACCT00159,2025-12-28,20134.29,2025-12-28 12:00:00
ACCT00160,2025-12-28,44365.28,2025-12-28 23:00:00
ACCT00160,2025-12-28,42977.41,2025-12-28 22:00:00
ACCT00161,2025-12-28,71770.58,2025-12-28 04:00:00
ACCT00162,2025-12-28,35065.84,2025-12-28 00:00:00
ACCT00162,2025-12-28,35500.83,2025-12-28 06:00:00
ACCT00163,2025-12-28,63326.41,2025-12-28 06:00:00
ACCT00164,2025-12-28,70930.61,2025-12-28 19:00:00
ACCT00164,2025-12-28,69200.59,2025-12-28 00:00:00
ACCT00165,2025-12-28,70464.0,2025-12-28 14:00:00
ACCT00165,2025-12-28,69992.59,2025-12-28 23:00:00
ACCT00166,2025-12-28,75824.95,2025-12-28 05:00:00
ACCT00167,2025-12-28,53285.06,2025-12-28 10:00:00
ACCT00168,2025-12-28,53550.24,2025-12-28 13:00:00
ACCT00168,2025-12-28,55580.91,2025-12-28 05:00:00
ACCT00169,2025-12-28,62296.44,2025-12-28 15:00:00
ACCT00169,2025-12-28,62565.69,2025-12-28 15:00:00
ACCT00170,2025-12-28,59683.82,2025-12-28 20:00:00
ACCT00170,2025-12-28,60335.53,2025-12-28 19:00:00
ACCT00171,2025-12-28,13111.84,2025-12-28 08:00:00
ACCT00172,2025-12-28,115427.43,2025-12-28 01:00:00
ACCT00172,2025-12-28,109689.09,2025-12-28 09:00:00
ACCT00173,2025-12-28,77422.56,2025-12-28 14:00:00
ACCT00174,2025-12-28,44295.2,2025-12-28 07:00:00
ACCT00175,2025-12-28,6279.03,2025-12-28 17:00:00
ACCT00175,2025-12-28,6217.44,2025-12-28 16:00:00
ACCT00176,2025-12-28,16510.89,2025-12-28 06:00:00
ACCT00177,2025-12-28,45665.6,2025-12-28 19:00:00
ACCT00178,2025-12-28,58380.18,2025-12-28 21:00:00
ACCT00180,2025-12-28,74105.09,2025-12-28 22:00:00
ACCT00180,2025-12-28,71525.25,2025-12-28 01:00:00
ACCT00181,2025-12-28,113559.64,2025-12-28 18:00:00
ACCT00181,2025-12-28,111063.14,2025-12-28 09:00:00
ACCT00182,2025-12-28,35541.1,2025-12-28 00:00:00
ACCT00182,2025-12-28,35938.42,2025-12-28 14:00:00
ACCT00183,2025-12-28,58464.54,2025-12-28 05:00:00
ACCT00183,2025-12-28,57627.99,2025-12-28 19:00:00
ACCT00184,2025-12-28,77364.07,2025-12-28 18:00:00
ACCT00184,2025-12-28,77615.2,2025-12-28 21:00:00
ACCT00185,2025-12-28,102883.83,2025-12-28 20:00:00
ACCT00185,2025-12-28,101074.6,2025-12-28 19:00:00
ACCT00186,2025-12-28,13303.06,2025-12-28 16:00:00
ACCT00186,2025-12-28,13529.62,2025-12-28 17:00:00
ACCT00187,2025-12-28,44404.97,2025-12-28 20:00:00
ACCT00187,2025-12-28,45720.44,2025-12-28 07:00:00
ACCT00188,2025-12-28,46616.61,2025-12-28 03:00:00
ACCT00189,2025-12-28,88767.52,2025-12-28 16:00:00
ACCT00189,2025-12-28,95162.72,2025-12-28 18:00:00
ACCT00190,2025-12-28,96865.97,2025-12-28 06:00:00
ACCT00191,2025-12-28,20862.72,2025-12-28 07:00:00
ACCT00192,2025-12-28,62341.67,2025-12-28 13:00:00
ACCT00192,2025-12-28,60506.05,2025-12-28 17:00:00
ACCT00193,2025-12-28,4765.69,2025-12-28 22:00:00
ACCT00194,2025-12-28,32455.27,2025-12-28 15:00:00
ACCT00195,2025-12-28,66344.28,2025-12-28 03:00:00
ACCT00196,2025-12-28,50517.88,2025-12-28 00:00:00
ACCT00196,2025-12-28,50035.59,2025-12-28 05:00:00
ACCT00197,2025-12-28,79519.87,2025-12-28 23:00:00
ACCT00198,2025-12-28,79456.06,2025-12-28 07:00:00
ACCT00199,2025-12-28,41902.85,2025-12-28 19:00:00
ACCT00199,2025-12-28,42689.02,2025-12-28 20:00:00
ACCT00200,2025-12-28,17742.49,2025-12-28 16:00:00
ACCT00201,2025-12-28,45731.28,2025-12-28 17:00:00
ACCT00202,2025-12-28,24027.92,2025-12-28 09:00:00
ACCT00203,2025-12-28,29152.1,2025-12-28 13:00:00
ACCT00204,2025-12-28,15525.63,2025-12-28 22:00:00
ACCT00205,2025-12-28,20676.03,2025-12-28 17:00:00
ACCT00205,2025-12-28,21452.12,2025-12-28 04:00:00
ACCT00206,2025-12-28,56692.88,2025-12-28 11:00:00
ACCT00206,2025-12-28,56485.7,2025-12-28 04:00:00
ACCT00207,2025-12-28,34852.01,2025-12-28 02:00:00
ACCT00207,2025-12-28,35189.72,2025-12-28 12:00:00
ACCT00209,2025-12-28,27166.47,2025-12-28 20:00:00
ACCT00209,2025-12-28,26568.09,2025-12-28 06:00:00
ACCT00210,2025-12-28,24770.53,2025-12-28 13:00:00
ACCT00211,2025-12-28,42724.7,2025-12-28 21:00:00
ACCT00212,2025-12-28,44876.6,2025-12-28 16:00:00
ACCT00213,2025-12-28,59999.41,2025-12-28 03:00:00
ACCT00213,2025-12-28,58474.18,2025-12-28 06:00:00
ACCT00214,2025-12-28,83996.43,2025-12-28 04:00:00
ACCT00214,2025-12-28,82925.57,2025-12-28 09:00:00
ACCT00215,2025-12-28,18646.24,2025-12-28 01:00:00
ACCT00215,2025-12-28,18983.83,2025-12-28 05:00:00
ACCT00216,2025-12-28,119347.7,2025-12-28 00:00:00
ACCT00216,2025-12-28,112367.66,2025-12-28 16:00:00
ACCT00218,2025-12-28,47957.78,2025-12-28 12:00:00
ACCT00218,2025-12-28,45910.94,2025-12-28 01:00:00
ACCT00219,2025-12-28,58406.36,2025-12-28 12:00:00
ACCT00220,2025-12-28,38991.85,2025-12-28 21:00:00
ACCT00221,2025-12-28,2161.46,2025-12-28 10:00:00
ACCT00222,2025-12-28,46737.73,2025-12-28 02:00:00
ACCT00223,2025-12-28,68547.34,2025-12-28 19:00:00
ACCT00223,2025-12-28,69206.52,2025-12-28 02:00:00
ACCT00224,2025-12-28,77406.07,2025-12-28 02:00:00
ACCT00224,2025-12-28,78803.29,2025-12-28 10:00:00
ACCT00225,2025-12-28,106835.57,2025-12-28 05:00:00
ACCT00226,2025-12-28,86916.57,2025-12-28 14:00:00
ACCT00227,2025-12-28,1150.32,2025-12-28 01:00:00
ACCT00227,2025-12-28,1159.7,2025-12-28 07:00:00
ACCT00228,2025-12-28,58407.46,2025-12-28 15:00:00
ACCT00228,2025-12-28,59219.2,2025-12-28 19:00:00
ACCT00229,2025-12-28,45581.83,2025-12-28 01:00:00
ACCT00229,2025-12-28,46772.18,2025-12-28 14:00:00
ACCT00230,2025-12-28,65829.66,2025-12-28 13:00:00
ACCT00231,2025-12-28,57735.72,2025-12-28 11:00:00
ACCT00232,2025-12-28,49005.65,2025-12-28 02:00:00
ACCT00233,2025-12-28,43159.83,2025-12-28 15:00:00
ACCT00233,2025-12-28,43830.86,2025-12-28 01:00:00
ACCT00234,2025-12-28,69160.27,2025-12-28 19:00:00
ACCT00235,2025-12-28,75031.84,2025-12-28 08:00:00
ACCT00236,2025-12-28,59930.61,2025-12-28 16:00:00
ACCT00237,2025-12-28,31295.13,2025-12-28 06:00:00
ACCT00237,2025-12-28,31635.59,2025-12-28 14:00:00
ACCT00238,2025-12-28,5758.84,2025-12-28 04:00:00
ACCT00239,2025-12-28,100927.02,2025-12-28 05:00:00
ACCT00239,2025-12-28,99659.01,2025-12-28 12:00:00
ACCT00240,2025-12-28,24077.46,2025-12-28 02:00:00
ACCT00241,2025-12-28,35453.25,2025-12-28 05:00:00
ACCT00241,2025-12-28,37423.27,2025-12-28 02:00:00
ACCT00242,2025-12-28,47162.11,2025-12-28 03:00:00
ACCT00243,2025-12-28,46598.26,2025-12-28 07:00:00
ACCT00244,2025-12-28,57622.51,2025-12-28 15:00:00
ACCT00244,2025-12-28,59587.64,2025-12-28 11:00:00
ACCT00246,2025-12-28,52993.84,2025-12-28 06:00:00
ACCT00246,2025-12-28,54420.09,2025-12-28 21:00:00
ACCT00247,2025-12-28,76917.2,2025-12-28 18:00:00
ACCT00247,2025-12-28,75305.28,2025-12-28 05:00:00
ACCT00248,2025-12-28,49413.26,2025-12-28 12:00:00
ACCT00248,2025-12-28,50423.16,2025-12-28 01:00:00
ACCT00249,2025-12-28,52890.92,2025-12-28 09:00:00
ACCT00250,2025-12-28,69911.54,2025-12-28 06:00:00
ACCT00251,2025-12-28,83769.66,2025-12-28 12:00:00
ACCT00251,2025-12-28,81409.05,2025-12-28 03:00:00
ACCT00252,2025-12-28,51371.63,2025-12-28 23:00:00
ACCT00253,2025-12-28,50285.77,2025-12-28 05:00:00
ACCT00253,2025-12-28,51269.84,2025-12-28 02:00:00
ACCT00254,2025-12-28,88567.36,2025-12-28 20:00:00
ACCT00255,2025-12-28,53368.47,2025-12-28 18:00:00
ACCT00256,2025-12-28,101172.43,2025-12-28 06:00:00
ACCT00257,2025-12-28,48380.66,2025-12-28 13:00:00
ACCT00257,2025-12-28,47036.58,2025-12-28 17:00:00
ACCT00258,2025-12-28,35803.76,2025-12-28 15:00:00
ACCT00258,2025-12-28,35943.9,2025-12-28 21:00:00
ACCT00259,2025-12-28,35978.14,2025-12-28 13:00:00
ACCT00259,2025-12-28,37838.88,2025-12-28 07:00:00
ACCT00260,2025-12-28,8264.93,2025-12-28 16:00:00
ACCT00261,2025-12-28,51861.22,2025-12-28 10:00:00
ACCT00262,2025-12-28,48292.72,2025-12-28 07:00:00
ACCT00262,2025-12-28,50473.74,2025-12-28 14:00:00
ACCT00263,2025-12-28,73973.48,2025-12-28 22:00:00
ACCT00264,2025-12-28,47001.75,2025-12-28 03:00:00
ACCT00264,2025-12-28,47194.23,2025-12-28 22:00:00
ACCT00265,2025-12-28,46937.58,2025-12-28 15:00:00
ACCT00266,2025-12-28,60039.15,2025-12-28 16:00:00
ACCT00267,2025-12-28,45032.58,2025-12-28 00:00:00
ACCT00268,2025-12-28,79485.61,2025-12-28 12:00:00
ACCT00268,2025-12-28,78091.28,2025-12-28 02:00:00
ACCT00269,2025-12-28,57893.18,2025-12-28 20:00:00
ACCT00270,2025-12-28,32740.03,2025-12-28 05:00:00
ACCT00270,2025-12-28,32098.12,2025-12-28 12:00:00
ACCT00271,2025-12-28,3912.19,2025-12-28 10:00:00
ACCT00271,2025-12-28,4082.89,2025-12-28 14:00:00
ACCT00273,2025-12-28,50570.26,2025-12-28 12:00:00
ACCT00274,2025-12-28,92342.57,2025-12-28 16:00:00
ACCT00275,2025-12-28,23178.06,2025-12-28 18:00:00
ACCT00276,2025-12-28,45086.58,2025-12-28 12:00:00
ACCT00277,2025-12-28,91802.81,2025-12-28 01:00:00
ACCT00277,2025-12-28,90381.77,2025-12-28 17:00:00
ACCT00278,2025-12-28,44761.32,2025-12-28 19:00:00
ACCT00278,2025-12-28,46128.62,2025-12-28 09:00:00
ACCT00279,2025-12-28,48121.37,2025-12-28 04:00:00
ACCT00280,2025-12-28,77116.65,2025-12-28 01:00:00
ACCT00281,2025-12-28,62866.62,2025-12-28 17:00:00
ACCT00282,2025-12-28,32569.2,2025-12-28 19:00:00
ACCT00282,2025-12-28,31920.93,2025-12-28 08:00:00
ACCT00283,2025-12-28,41600.83,2025-12-28 09:00:00
ACCT00283,2025-12-28,42370.85,2025-12-28 10:00:00
ACCT00284,2025-12-28,66762.93,2025-12-28 09:00:00
ACCT00285,2025-12-28,72457.17,2025-12-28 17:00:00
ACCT00285,2025-12-28,72781.12,2025-12-28 01:00:00
ACCT00286,2025-12-28,65893.66,2025-12-28 05:00:00
ACCT00286,2025-12-28,66676.3,2025-12-28 17:00:00
ACCT00288,2025-12-28,78881.36,2025-12-28 15:00:00
ACCT00288,2025-12-28,77287.01,2025-12-28 21:00:00
ACCT00289,2025-12-28,99969.49,2025-12-28 19:00:00
ACCT00290,2025-12-28,92667.75,2025-12-28 02:00:00
ACCT00290,2025-12-28,97866.42,2025-12-28 02:00:00
ACCT00291,2025-12-28,60190.53,2025-12-28 17:00:00
ACCT00291,2025-12-28,60178.84,2025-12-28 17:00:00
ACCT00292,2025-12-28,29401.27,2025-12-28 18:00:00
ACCT00293,2025-12-28,95388.71,2025-12-28 22:00:00
ACCT00293,2025-12-28,97979.83,2025-12-28 04:00:00
ACCT00295,2025-12-28,30776.03,2025-12-28 06:00:00
ACCT00295,2025-12-28,30721.41,2025-12-28 23:00:00
ACCT00296,2025-12-28,58212.34,2025-12-28 17:00:00
ACCT00297,2025-12-28,55254.67,2025-12-28 00:00:00
ACCT00297,2025-12-28,54021.75,2025-12-28 05:00:00
ACCT00298,2025-12-28,37046.22,2025-12-28 22:00:00
ACCT00299,2025-12-28,42072.3,2025-12-28 21:00:00
ACCT00299,2025-12-28,42110.5,2025-12-28 11:00:00
ACCT00300,2025-12-28,60789.85,2025-12-28 19:00:00
ACCT00300,2025-12-28,60548.96,2025-12-28 14:00:00
ACCT00301,2025-12-28,32621.04,2025-12-28 03:00:00
ACCT00302,2025-12-28,45818.8,2025-12-28 17:00:00
ACCT00303,2025-12-28,65105.83,2025-12-28 10:00:00
ACCT00304,2025-12-28,8653.58,2025-12-28 05:00:00
ACCT00304,2025-12-28,9123.28,2025-12-28 12:00:00
ACCT00305,2025-12-28,77703.65,2025-12-28 06:00:00
ACCT00305,2025-12-28,74907.11,2025-12-28 19:00:00
ACCT00306,2025-12-28,58735.0,2025-12-28 07:00:00
ACCT00306,2025-12-28,60895.62,2025-12-28 04:00:00
ACCT00307,2025-12-28,88452.56,2025-12-28 07:00:00
ACCT00307,2025-12-28,88983.41,2025-12-28 06:00:00
ACCT00308,2025-12-28,59426.99,2025-12-28 05:00:00
ACCT00309,2025-12-28,38619.1,2025-12-28 21:00:00
ACCT00309,2025-12-28,41293.09,2025-12-28 05:00:00
ACCT00310,2025-12-28,28759.06,2025-12-28 15:00:00
ACCT00310,2025-12-28,27528.16,2025-12-28 10:00:00
ACCT00311,2025-12-28,34930.9,2025-12-28 18:00:00
ACCT00311,2025-12-28,34942.89,2025-12-28 18:00:00
ACCT00312,2025-12-28,56259.79,2025-12-28 07:00:00
ACCT00313,2025-12-28,45211.54,2025-12-28 21:00:00
ACCT00313,2025-12-28,44635.32,2025-12-28 07:00:00
ACCT00314,2025-12-28,65373.25,2025-12-28 12:00:00
ACCT00315,2025-12-28,104532.77,2025-12-28 20:00:00
ACCT00315,2025-12-28,105579.53,2025-12-28 08:00:00
ACCT00316,2025-12-28,61621.45,2025-12-28 17:00:00
ACCT00316,2025-12-28,58646.39,2025-12-28 19:00:00
ACCT00317,2025-12-28,76616.63,2025-12-28 21:00:00
